time,day,DO,T,T_prime,DO_prime,DO_IM,DO_clean
2024-07-01T00:00:00Z,2024-07-01,6.92025789247017,13.9960806500551,-0.816386264972682,-1.10259646568614,-0.638409673402551,7.55866756587272
2024-07-01T00:10:00Z,2024-07-01,6.70995147539911,13.7562899782203,-1.05617693680746,-1.3129028827572,-0.819040026338448,7.52899150173756
2024-07-01T00:20:00Z,2024-07-01,6.68677127113262,13.6103126743017,-1.20215424072613,-1.3360830870237,-0.928588784435591,7.61536005556821
2024-07-01T00:30:00Z,2024-07-01,6.52399610424339,13.2721416684038,-1.54032524662404,-1.49885825391293,-1.18116712023546,7.70516322447885
2024-07-01T00:40:00Z,2024-07-01,6.35359255043399,12.9911365743274,-1.82133034070042,-1.66926180772233,-1.38977080702082,7.7433633574548
2024-07-01T00:50:00Z,2024-07-01,6.22051063407222,12.6871793083717,-2.12528760665611,-1.80234372408409,-1.61410731163214,7.83461794570436
2024-07-01T01:00:00Z,2024-07-01,6.23791786217296,12.6147491789526,-2.19771773607524,-1.78493649598335,-1.66736437444432,7.90528223661729
2024-07-01T01:10:00Z,2024-07-01,6.07967688169494,12.3939208369848,-2.41854607804302,-1.94317747646138,-1.82926142072373,7.90893830241866
2024-07-01T01:20:00Z,2024-07-01,6.07726004021419,12.2111125273092,-2.60135438771861,-1.94559431794212,-1.96274278124032,8.04000282145451
2024-07-01T01:30:00Z,2024-07-01,6.07296789214946,12.2095528552892,-2.60291405973855,-1.94988646600685,-1.96387949717698,8.03684738932644
2024-07-01T01:40:00Z,2024-07-01,6.12922807160612,12.3624043984008,-2.45006251662697,-1.89362628655019,-1.85230883097677,7.98153690258289
2024-07-01T01:50:00Z,2024-07-01,6.14652636771943,12.3497124405767,-2.46275447445113,-1.87632799043688,-1.86158611335804,8.00811248107748
2024-07-01T02:00:00Z,2024-07-01,6.17371277610848,12.3989428311614,-2.41352408386641,-1.84914158204784,-1.82558757832894,7.99930035443741
2024-07-01T02:10:00Z,2024-07-01,6.26727770586999,12.5992657446882,-2.21320117033955,-1.75557665228633,-1.67873917429046,7.94601688016045
2024-07-01T02:20:00Z,2024-07-01,6.3244463674668,12.7168287134249,-2.09563820160293,-1.69840799068951,-1.59228421057238,7.91673057803918
2024-07-01T02:30:00Z,2024-07-01,6.36735041452223,12.8208252263488,-1.99164168867901,-1.65550394363408,-1.51563671777264,7.88298713229487
2024-07-01T02:40:00Z,2024-07-01,6.42060569005823,12.8794351560726,-1.93303175895524,-1.60224866809809,-1.47237005142023,7.89297574147845
2024-07-01T02:50:00Z,2024-07-01,6.5838329650165,13.1516548258934,-1.66081208913434,-1.43902139313981,-1.27075236175536,7.85458532677186
2024-07-01T03:00:00Z,2024-07-01,6.70309737850303,13.3901704739423,-1.42229644108551,-1.31975697965328,-1.09320276541681,7.79630014391984
2024-07-01T03:10:00Z,2024-07-01,6.8998765966932,13.6961533596838,-1.11631355534398,-1.12297776146312,-0.864207497048612,7.76408409374181
2024-07-01T03:20:00Z,2024-07-01,7.18274965040973,14.2014364228887,-0.611030492139141,-0.84010470774659,-0.483047271984215,7.66579692239394
2024-07-01T03:30:00Z,2024-07-01,7.44810211492736,14.5549178038746,-0.2575491111532,-0.574752243228957,-0.214169473910607,7.66227158883796
2024-07-01T03:40:00Z,2024-07-01,7.73695605802485,14.9414417766527,0.128974861624906,-0.285898300131462,0.0819428200516475,7.6550132379732
2024-07-01T03:50:00Z,2024-07-01,8.04400499405287,15.3534835526703,0.54101663764253,0.0211506358965554,0.40002036246836,7.64398463158451
2024-07-01T04:00:00Z,2024-07-01,8.45414127097101,15.8301601140415,1.01769319901369,0.4312869128147,0.771103936819305,7.68303733415171
2024-07-01T04:10:00Z,2024-07-01,8.84611918162949,16.1928102147379,1.38034329971012,0.823264823473172,1.05565530690915,7.79046387472034
2024-07-01T04:20:00Z,2024-07-01,8.96295965644627,16.3601145786989,1.54764766367115,0.940105298289954,1.18758083587211,7.77537882057415
2024-07-01T04:30:00Z,2024-07-01,9.24799194956796,16.6043940057973,1.79192709076952,1.22513759141165,1.38094230074769,7.86704964882028
2024-07-01T04:40:00Z,2024-07-01,9.50091863199954,16.8677315555443,2.05526464051653,1.47806427384323,1.59037101735793,7.91054761464162
2024-07-01T04:50:00Z,2024-07-01,9.7007312037156,17.0631850042042,2.25071808917637,1.67787684555929,1.74647094932145,7.95426025439415
2024-07-01T05:00:00Z,2024-07-01,9.82026206785268,17.16996870068,2.35750178565217,1.79740770969636,1.83199131641302,7.98827075143966
2024-07-01T05:10:00Z,2024-07-01,10.0637134643852,17.3763476840356,2.56388076900779,2.04085910622893,1.99774964307678,8.06596382130845
2024-07-01T05:20:00Z,2024-07-01,10.2413289086285,17.5370622440671,2.72459532903928,2.21847455047216,2.12726471485831,8.11406419377016
