day,n,coverage,T_mean,DO_mean,T_sd,DO_sd,diel_frac_T,a0,a1,a2,r2,p_value,status,diel_flag
2024-07-01,144,1,14.8124669150278,8.02285435815631,1.53164001023172,1.20283896706498,0.0287054003384668,-0.0171075094847557,0.767034549576001,0.00734344486880823,0.957763451619582,1.29131918980684e-97,ok,FALSE
2024-07-02,144,1,14.8894704251636,8.05696415332389,1.43040085848268,1.12321702955365,0.0190780586172472,-0.00748820935576925,0.766096326496585,0.00368543629328103,0.95266144983122,4.00547630315487e-94,ok,FALSE
2024-07-03,144,1,15.1398073588778,8.26364952055699,1.50438038100074,1.13080553712019,0.0247840253592729,-0.0540513430152123,0.733782875059775,0.0240501407238367,0.945943632796833,4.63130468445547e-90,ok,FALSE
2024-07-04,144,1,15.0884889668445,8.21288834577783,1.46476006542541,1.13342072344298,0.0104989553307569,-0.192176365912664,0.745910687321452,0.0901972816591053,0.939256918075533,1.72395537043817e-86,ok,FALSE
2024-07-05,144,1,14.9597603807293,8.10951694437437,1.43152535084676,1.18832502093684,0.0166615189694524,-0.268650969108985,0.7507381942555,0.132013024006861,0.95601898271225,2.23976042137994e-96,ok,FALSE
2024-07-06,144,1,15.0471604893741,8.16164181187522,1.35167775372481,1.0723122510457,0.00219848479284727,-0.291805830350753,0.750332431544906,0.160832601701715,0.955667138679587,3.92795265303691e-96,ok,FALSE
2024-07-07,144,1,15.0346332627153,8.1678673915338,1.42029126551298,1.11400400739243,0.00521514747074147,-0.233278377061797,0.75094568733657,0.116451773601279,0.943371472718051,1.22740062405689e-88,ok,FALSE
2024-07-08,144,1,14.8681572268788,8.04412177488504,1.4478512937598,1.15699570800045,0.0260840827897243,-0.0715331416693592,0.770395281494703,0.0343625857676563,0.945144332501732,1.30351500428018e-89,ok,FALSE
2024-07-09,144,1,14.9092125725209,8.0787127747934,1.44525537777849,1.11554854524487,0.011878157605744,-0.0132136621656677,0.75169308752504,0.00637030851082079,0.949824716267407,2.42400499491556e-92,ok,FALSE
2024-07-10,144,1,15.2060804683465,8.31850780694174,1.52235372325607,1.14662494925785,0.0291329203243148,0.027470417997863,0.736673570731619,-0.0119360485050654,0.962153344139803,5.63559191086848e-101,ok,FALSE
